Colocação,Usuário,Pontuação,Rodadas jogadas
233,danielyabu,5,1
234,ch3ssskater,5,1
235,prgimnz,5,1
236,herreraale,5,1
237,diego123322,5,1
238,severusblade,4.5,1
239,robets1642,4.5,3
240,maycon_asbahr,4.5,1
241,klelton,4.5,1
242,ivacirh,4.5,1
243,brunuslaus,4.5,1
244,r2103,4.5,1
245,brzizu,4.5,1
246,zorro1977,4,1
247,wsantos33,4,1
248,willandrade1984,4,1
249,ricardomenezes010,4,4
250,regivinhedo,4,1
251,raoniaraujoxadrez,4,1
252,rafinha568,4,4
253,rafabrewer,4,2
254,portuguesewarrior11,4,6
255,pantaneiro100,4,1
256,murilopascoal007,4,2
257,mrchessbrasil,4,3
258,mirobarbosa,4,4
259,luiz23,4,2
260,lsornas,4,1
261,lizivicenzi,4,1
262,leleko_chess,4,1
263,kayohen,4,2
264,josedayvisson,4,6
265,jonyhbm,4,1
266,felipeauer,4,2
267,fabricio24069,4,1
268,eudes_marques,4,1
269,ellemental,4,1
270,doctor_angelicus,4,2
271,belfarinha,4,1
272,batistagbn,4,2
273,atlas21,4,3
274,asylate,4,1
275,130222009i985,4,1
276,00xtw00,4,1
277,zobral,4,1
278,guiaquiles,4,2
279,xadrez_capivara,3.5,1
280,josesilvasilva,3.5,1
281,kaspa_leosud,3.5,2
282,zzz32b,3,2
283,zaiko2,3,1
284,willandernasc,3,4
285,terminator392,3,1
286,tandercat,3,1
287,stefanoo98,3,2
288,serginhosji,3,5
289,sallesike,3,3
290,ruanpablo1,3,4
291,rrbv,3,1
292,robcxnl,3,3
293,risoca,3,2
294,lucianodut,3,1
295,linck123,3,1
296,leovfaria,3,2
297,leonardooliveira75,3,1
298,david_sales,3,1
299,daniel4353,3,3
300,bozzo2008,3,2
301,babi3105,3,1
302,artur_chess062,3,3
303,amandapalav,3,1
304,a-bonfim,3,1
305,miguelabnernevesgomes,3,1
306,malukpt,3,1
307,lukalima2018,3,1
308,flatearth41,3,1
309,zallio,2.5,1
310,rodrigodropa,2.5,1
311,ricardoruva,2.5,2
312,nuvemverde,2.5,2
313,miguelaoo2,2.5,1
314,lkapp23,2.5,1
